layer,job_id,ev,mean_l0,dead_pct,recon_loss,stop_step,stop_reason,wall_min,flagged_ev,wandb
0,826751606056,0.9248,48.03,0.01,0.075587,1251,EV/L0 convergence,11.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/auwdujn9
1,826751606056,0.9903,48.81,0.05,0.037356,1001,EV/L0 convergence,8.0,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/ab2jgbsj
2,826751606056,0.9768,48.44,0.04,0.120218,1501,EV/L0 convergence,10.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/ob0alxm2
3,826751606056,0.9494,46.9,0.0,0.255506,1251,EV/L0 convergence,9.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/oz4dx1ol
4,826751606056,0.9407,49.5,0.0,0.280214,1001,EV/L0 convergence,8.1,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/hua3kqp1
5,826751606056,0.9452,47.75,0.1,0.289266,1501,EV/L0 convergence,10.4,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/qc826irx
6,826751606056,0.9569,51.43,0.04,0.272437,1251,EV/L0 convergence,9.1,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/22d83gvi
7,826751606056,0.9278,49.92,0.17,0.389366,1251,EV/L0 convergence,9.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/getiz7s5
8,826751606056,0.8869,48.92,0.85,0.196589,1501,dead-ceiling rollback,10.3,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/vtcpyofz
9,826751606056,0.9243,43.08,0.01,0.226082,1251,EV/L0 convergence,9.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/nd5vyn8u
10,826751606056,0.9365,45.04,0.0,0.347095,1251,EV/L0 convergence,9.3,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/kddbi6nk
11,826751606056,0.9578,48.75,0.53,0.344103,1251,EV/L0 convergence,9.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/ee1uqglp
12,826751606056,0.9613,49.65,0.05,0.421796,1251,EV/L0 convergence,9.2,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/b8n2l1al
13,826751606056,0.9505,48.9,0.0,0.487454,1251,EV/L0 convergence,7.1,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/265edbo1
14,117948351885,0.9247,52.74,0.0,0.561791,1501,EV/L0 convergence,62.3,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/igiig0us
15,117948351885,0.9221,50.47,0.0,0.523497,1251,EV/L0 convergence,10.5,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/7ubr6fii
16,117948351885,0.8905,50.39,0.02,0.613392,1751,dead-ceiling rollback,13.1,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/gao1o3y5
17,117948351885,0.8337,52.29,0.88,0.536795,1751,dead-ceiling rollback,13.0,True,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/d0zg5enc
18,117948351885,0.7841,52.02,0.01,0.523656,1501,dead-ceiling rollback,11.8,True,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/jwl1shd0
19,117948351885,0.77,50.83,0.02,0.52164,1501,dead-ceiling rollback,11.9,True,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/kkk5rimj
20,117948351885,0.8546,47.34,0.03,0.398673,1501,dead-ceiling rollback,11.9,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/kp79v3us
21,117948351885,0.9084,47.34,0.14,0.357098,1501,EV/L0 convergence,11.9,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/0ti8mba5
22,117948351885,0.8542,49.75,0.2,0.177383,1501,dead-ceiling rollback,11.9,False,https://wandb.ai/ricks-holmberg-juiceb0xc0de/gemma-4-e4b-SAE/runs/6652igul
