cell,kind,layer,k,coef,iteration,design,n_features,clamped_per_token,dose_along_dir,dose_frac_of_dir_-0.35,edit_norm_per_token,bella,bella_lo,bella_hi,gain_mean,gain_lo,gain_hi,random_gain_matched,refusal,crisis,corporate,swear,n_words,truncated,degenerate,neutral_degenerate,dose_contrast,passes_all_q1
base,base,-1,0,0.0,1,pre-registered,,,0.0,0.0,,1.1340581952394524,1.0700817117514871,1.2126411880414985,0.0,0.0,0.0,,0.99375,3.031546951854706,0.18,0.03,82.29,0.83,0.01,0.0,-5.0192225582897665,False
dir:10:-0.5,dir,10,0,-0.5,1,pre-registered,0,,61.391475677490234,1.4284295288050313,61.391563415527344,4.026797230251501,3.655553603958964,4.407009174948511,2.8927390350120485,2.5232652315257793,3.246399773220444,,0.9679078723446107,3.239697725000231,0.07,0.09,49.93,0.29,0.0,0.42,-2.8377597737312317,False
dir:10:-0.35,dir,10,0,-0.35,1,pre-registered,0,,42.978302001953125,1.0,42.978363037109375,2.9322751500619653,2.58975423894715,3.30298706296565,1.7982169548225126,1.4660667512599277,2.1597590136594556,,0.9688793480638178,3.164158388663803,0.1,0.03,56.0,0.39,0.0,0.24,-3.615666837990284,False
A:10:5,A,10,5,0.0,1,pre-registered,5,0.6020553231244161,0.6300551045618368,0.014659841715784962,2.134309566739059,1.17564366010933,1.0878587436491054,1.2847991513933126,0.04158546486987779,-0.014419830814408905,0.12300108253630802,0.0351500392694997,0.99375,3.024030698528473,0.17,0.02,82.77,0.8,0.01,0.0,-5.016577405482531,False
A:10:20,A,10,20,0.0,1,pre-registered,20,1.4348986338471343,1.3545873776465784,0.031517936134029215,4.598697198231635,1.2393015406327734,1.117974154930401,1.390374876560716,0.10524334539332118,0.011138073629134269,0.23083494848208905,0.0351500392694997,0.99375,3.1388373533541545,0.18,0.02,81.97,0.82,0.01,0.01,-5.000796565562487,False
A:10:50,A,10,50,0.0,1,pre-registered,50,2.8943883463002815,2.4332449607350064,0.056615660633229044,8.08238955386485,1.1571443736886518,1.0754355137214495,1.2631192854953408,0.023086178449199583,-0.034016994401218886,0.10116538785439835,0.0351500392694997,0.99375,3.0335443165547087,0.18,0.03,81.83,0.82,0.0,0.0,-4.975791512876749,False
A:10:100,A,10,100,0.0,2,adaptive (plan-listed),100,5.546569244981943,3.928726502506861,0.0914118594617424,12.854710581681685,1.2513520365938438,1.1194982298758744,1.4259815459198149,0.11729384135439141,-0.014460584685646313,0.2797989701443932,-0.018698361062643463,0.99375,2.9703025712408864,0.21,0.02,80.11,0.82,0.0,0.01,-4.881027049124241,False
A:10:200,A,10,200,0.0,1,pre-registered,200,8.35095788862591,4.484908261752909,0.10435284906204752,15.31169935331718,1.8400026694711549,1.6225881264174522,2.0882558611468593,0.7059444742317027,0.4656928210323343,0.9558564075503737,-0.09158893185029535,0.3478287956581293,1.4989530642393638,0.03,0.02,31.85,0.31,0.55,0.4,-3.193449240922928,False
A:4:5,A,4,5,0.0,1,pre-registered,5,1.3983887210473314,0.9386617549992761,0.02184036388772686,4.5578565202474834,1.1387182299256293,1.0635768825290957,1.2274231151795225,0.004660034686177004,-0.03781254119612019,0.06468790348040294,-0.013326334690375434,0.99375,3.034675367912236,0.2,0.02,82.1,0.79,0.0,0.0,-5.013008546829224,False
A:4:20,A,4,20,0.0,1,pre-registered,20,2.5003601728829836,1.3633173686006899,0.03172106167755847,6.026982600266826,1.1395639633175405,1.0710763887769656,1.2273448938730904,0.005505768078088111,-0.030080349871840613,0.04700860661267473,-0.013326334690375434,0.99375,3.059488788985735,0.21,0.01,82.81,0.81,0.0,0.0,-5.01156186580658,False
A:4:50,A,4,50,0.0,1,pre-registered,50,6.283790441780259,2.596944178299944,0.06042454115990732,10.326580045023151,1.203648344046669,1.0974252425491644,1.3382948199078915,0.06959014880721663,-0.02223628520911532,0.19365555596755638,-0.013326334690375434,0.99375,3.069498690119384,0.17,0.02,81.31,0.81,0.01,0.02,-5.007663244828581,False
A:4:200,A,4,200,0.0,1,pre-registered,200,19.33163737280296,4.834560432933023,0.1124884001399897,18.120593120240887,1.2559373261128588,1.1223395663633975,1.4269809694079008,0.12187913087340675,-0.02340742632458162,0.29026778420709204,-0.08950853738072323,0.9064302767250598,2.571597015871356,0.19,0.04,62.87,0.64,0.22,0.36,-4.021260567009449,False
D:10:5,D,10,5,0.0,1,pre-registered,5,1.2090800985305359,0.7101639207273122,0.01652377799139294,4.293522949278694,1.235451882231517,1.1073749109250923,1.3839810755911455,0.1013936869920649,-0.013045307009657088,0.23977425314619075,0.0351500392694997,0.99375,3.0101760041015257,0.18,0.04,80.66,0.78,0.0,0.02,-4.999980979710817,False
D:10:20,D,10,20,0.0,1,pre-registered,20,2.673311277691696,1.4811665085144536,0.03446312300674752,7.286441357722159,1.2057639196756493,1.1024084997731445,1.3212084927222583,0.0717057244361972,-0.007185624959213854,0.16770952125063898,0.0351500392694997,0.99375,3.0109410521930235,0.18,0.04,81.13,0.78,0.0,0.01,-4.970726155936718,False
D:10:50,D,10,50,0.0,1,pre-registered,50,5.028000840866092,2.3032233164218736,0.053590374890036485,11.19331827294007,1.2268355495965195,1.1020312395002025,1.3854065506876014,0.09277735435706737,-0.02766138976795152,0.24623273887278763,0.0351500392694997,0.9880959341556194,2.98172237719786,0.18,0.02,82.32,0.83,0.0,0.01,-4.848461548388005,False
D:10:100,D,10,100,0.0,2,adaptive (plan-listed),100,7.816407982261641,3.278570752027558,0.07628432486417368,15.24803730284728,1.1901745228488643,1.0919925177782972,1.3134452693247616,0.056116327609411945,-0.045751878121599504,0.18687605162533083,-0.018698361062643463,0.9869040658443806,2.8714064557812136,0.19,0.02,82.57,0.82,0.0,0.0,-4.686264982223511,False
D:10:200,D,10,200,0.0,1,pre-registered,200,9.89991558510077,3.3602574958106417,0.0781849756572034,18.15774511387797,2.346211721105914,2.058412532577423,2.65862971445329,1.212153525866462,0.936413893633136,1.5131618927972188,-0.09158893185029535,0.3228293046951188,1.0776432888704142,0.02,0.03,32.13,0.26,0.36,0.27,-2.870039621591568,False
R:10:50:0,R,10,50,0.0,1,pre-registered,50,3.100200858212362,-0.35401928709206176,-0.008237163187042,7.50032257337195,1.1581051151089103,1.0508996415873968,1.3047375972323358,0.024046919869457967,-0.09744905287424346,0.16529500315107096,,0.9940664603782097,2.8720996216900265,0.21,0.04,82.68,0.85,0.0,0.0,-4.993991356641054,False
R:10:50:1,R,10,50,0.0,1,pre-registered,50,2.9902307864665025,-0.3967087620108445,-0.009230442887036725,7.224632227135004,1.1803113539089936,1.0714512202414503,1.3161840601896468,0.04625315866954144,-0.0684236679952272,0.18238861583776825,,0.99375,3.0558982972264515,0.19,0.03,81.8,0.85,0.0,0.0,-4.976714579164982,False
R:10:100:0,R,10,100,0.0,2,adaptive (plan-listed),100,5.776936795858889,-0.8788625665264731,-0.02044898298882384,11.164464733393093,1.1394387442627272,1.0470087931941274,1.2649057187740564,0.005380549023275054,-0.09897008113889359,0.14558178368299743,,0.981433201442196,2.7826766844876887,0.21,0.04,83.78,0.86,0.0,0.01,-4.960950191915035,False
