layer,cos,shift_norm,shift_norm_over_median_norm,proj_on_dir,proj_se,gap_test,gap_all,frac_gap_closed_test,frac_gap_closed_all,cos_ft_minus_base_vs_bella_minus_base,random_dir_abs_cos_p95,is_global_attention
0,0.3151264786720276,0.3466510772705078,0.006744129117578268,0.10923893749713898,0.0007859499310143292,4.159045219421387,4.236551761627197,0.026265388264361426,0.025784870253817437,0.31952595710754395,0.03508163768696187,False
1,0.3154573440551758,0.4968513250350952,0.004999667871743441,0.1567354053258896,0.0017247953219339252,2.4379608631134033,2.4943623542785645,0.06428954939240915,0.06283586065875406,0.331365168094635,0.03917152268439445,False
2,0.3161413073539734,0.5701425671577454,0.005095781292766333,0.18024560809135437,0.00204704818315804,5.300696849822998,5.423640727996826,0.034004134399305094,0.033233323726796056,0.3277043104171753,0.034984186396558224,False
3,0.2982681393623352,0.6013256907463074,0.0052359080873429775,0.17935629189014435,0.0021611356642097235,8.094988822937012,8.277257919311523,0.022156459485396865,0.02166856386964714,0.3036881983280182,0.03500547704429877,False
4,0.5182924270629883,0.6734601855278015,0.005985552910715342,0.34904932975769043,0.004297770094126463,11.114323616027832,11.131237983703613,0.03140535958970374,0.03135763787178988,0.5223715901374817,0.036578222807643265,False
5,0.5297572612762451,0.6013907790184021,0.004941275808960199,0.3185911178588867,0.003707848722115159,9.358144760131836,9.440140724182129,0.03404426048378402,0.03374855599798155,0.5324082374572754,0.030517953759273096,True
6,0.5716960430145264,0.565321683883667,0.004371895920485258,0.32319217920303345,0.003843815065920353,8.840473175048828,8.815533638000488,0.0365582444291788,0.036661669329905576,0.5738118290901184,0.023267679362424562,False
7,0.5398114919662476,0.6069971919059753,0.005086546763777733,0.3276640772819519,0.004222627729177475,10.403948783874512,10.38213062286377,0.03149420321924415,0.03156038863163236,0.5442184805870056,0.0432489910952883,False
8,0.5123010277748108,0.4026545584201813,0.0057955551892519,0.20628035068511963,0.0026599981356412172,9.266724586486816,9.394404411315918,0.022260330363754154,0.021957789089497477,0.5200591683387756,0.038938645052129406,False
9,0.5069038271903992,0.5756829380989075,0.006223395001143217,0.2918158769607544,0.002670706482604146,11.643058776855469,12.022600173950195,0.025063506296200917,0.0242722766072719,0.5144924521446228,0.03303073723751436,False
10,0.4601501226425171,0.8844479918479919,0.007202122360467911,0.4069788455963135,0.003570142202079296,15.4378662109375,15.953200340270996,0.026362376771213045,0.025510796386664078,0.468802273273468,0.02256073747318301,False
