layer,layer_type,kv_shared,steps,tokens,ev,best_ev,mean_l0,dead_pct,early_stopped,wall_minutes,job_id
0,sliding,False,1251,40992768,0.9247837959303993,0.9203985612644882,48.03,0.01,True,11.2,ta-01M1Y3956VFQW1AZK20YVFSBPS
1,sliding,False,1001,32800768,0.9903257281324104,0.9901875264390491,48.81,0.05,True,19.2,ta-01M1Y3956VFQW1AZK20YVFSBPS
2,sliding,False,1501,49184768,0.9768401831218121,0.9757338025681978,48.44,0.04,True,29.4,ta-01M1Y3956VFQW1AZK20YVFSBPS
3,sliding,False,1251,40992768,0.9493577243859228,0.9460165983107353,46.9,0.0,True,38.6,ta-01M1Y3956VFQW1AZK20YVFSBPS
4,sliding,False,1001,32800768,0.9406948514426027,0.9381232737871947,49.5,0.0,True,46.7,ta-01M1Y3956VFQW1AZK20YVFSBPS
5,global,False,1501,49184768,0.9452379596030167,0.9431947770598512,47.75,0.1,True,57.1,ta-01M1Y3956VFQW1AZK20YVFSBPS
6,sliding,False,1251,40992768,0.9568668459309283,0.9537104343522104,51.43,0.04,True,66.2,ta-01M1Y3956VFQW1AZK20YVFSBPS
7,sliding,False,1251,40992768,0.9278061707599625,0.9264738759102356,49.92,0.17,True,75.4,ta-01M1Y3956VFQW1AZK20YVFSBPS
8,sliding,False,1501,49184768,0.8869249861140147,0.8825106995003003,48.92,0.85,True,85.7,ta-01M1Y3956VFQW1AZK20YVFSBPS
9,sliding,False,1251,40992768,0.9242997986218147,0.9194963301629189,43.08,0.01,True,94.9,ta-01M1Y3956VFQW1AZK20YVFSBPS
10,sliding,False,1251,40992768,0.9365331428953654,0.9337690722838914,45.04,0.0,True,104.2,ta-01M1Y3956VFQW1AZK20YVFSBPS
11,global,False,1251,40992768,0.9577682489803968,0.9566985679283816,48.75,0.53,True,113.4,ta-01M1Y3956VFQW1AZK20YVFSBPS
12,sliding,False,1251,40992768,0.9613327265819025,0.9601013384024513,49.65,0.05,True,122.6,ta-01M1Y3956VFQW1AZK20YVFSBPS
13,sliding,False,1251,40992768,0.9504706265996588,0.9485616258850511,48.9,0.0,True,129.7,ta-01M1Y3956VFQW1AZK20YVFSBPS
14,sliding,False,1501,49184768,0.9246771789478018,0.9227428019974535,52.74,0.0,True,62.3,ta-01M1Y39HE0TP152WS3CPZY8KRS
15,sliding,False,1251,40992768,0.9220935535357724,0.9223492867515785,50.47,0.0,True,72.8,ta-01M1Y39HE0TP152WS3CPZY8KRS
16,sliding,False,1751,57376768,0.8904999451197131,0.8878263023640985,50.39,0.02,True,85.9,ta-01M1Y39HE0TP152WS3CPZY8KRS
17,global,False,1751,57376768,0.8336686631288942,0.8283743780841719,52.29,0.88,True,98.9,ta-01M1Y39HE0TP152WS3CPZY8KRS
18,sliding,False,1501,49184768,0.784143286171602,0.7836044126079053,52.02,0.01,True,110.7,ta-01M1Y39HE0TP152WS3CPZY8KRS
19,sliding,False,1501,49184768,0.7699822402079111,0.767405430357101,50.83,0.02,True,122.6,ta-01M1Y39HE0TP152WS3CPZY8KRS
20,sliding,False,1501,49184768,0.8545658416731658,0.852272613556261,47.34,0.03,True,134.5,ta-01M1Y39HE0TP152WS3CPZY8KRS
21,sliding,False,1501,49184768,0.9083535728693357,0.9043531742703351,47.34,0.14,True,146.4,ta-01M1Y39HE0TP152WS3CPZY8KRS
22,sliding,False,1501,49184768,0.8541888315042878,0.8507024373220481,49.75,0.2,True,158.3,ta-01M1Y39HE0TP152WS3CPZY8KRS
23,global,False,1751,57376768,0.846062700161356,0.8420950478533817,53.0,0.2,True,174.7,ta-01M1Y39HE0TP152WS3CPZY8KRS
24,sliding,True,2001,65568768,0.8715895561048297,0.8706030449967332,52.11,0.1,True,189.3,ta-01M1Y39HE0TP152WS3CPZY8KRS
25,sliding,True,2251,73760768,0.870897256814152,0.8689658257117132,54.88,0.63,True,206.0,ta-01M1Y39HE0TP152WS3CPZY8KRS
26,sliding,True,2251,73760768,0.8840095114069422,0.8825692506155818,49.12,0.3,True,222.0,ta-01M1Y39HE0TP152WS3CPZY8KRS
27,sliding,True,2251,73760768,0.8849517933060633,0.8837072531851271,53.88,0.49,True,234.5,ta-01M1Y39HE0TP152WS3CPZY8KRS
28,sliding,True,2001,65568768,0.9029619638209213,0.902273567349506,51.86,0.37,True,134.5,ta-01M1Y39XXACFBV4R33H7PF9ANS
29,global,True,1251,40992768,0.9279932878226439,0.9266593560376079,50.32,0.04,True,146.8,ta-01M1Y39XXACFBV4R33H7PF9ANS
30,sliding,True,1251,40992768,0.9272193022605271,0.921354993193011,46.21,0.0,True,159.6,ta-01M1Y39XXACFBV4R33H7PF9ANS
31,sliding,True,1501,49184768,0.9357317634974761,0.9327822218489408,48.27,0.0,True,173.3,ta-01M1Y39XXACFBV4R33H7PF9ANS
32,sliding,True,1501,49184768,0.9449932239023784,0.9413883299297452,47.23,0.0,True,186.5,ta-01M1Y39XXACFBV4R33H7PF9ANS
33,sliding,True,1751,57376768,0.9507417460772327,0.9492915395622182,48.79,0.0,True,200.7,ta-01M1Y39XXACFBV4R33H7PF9ANS
34,sliding,True,1751,57376768,0.9568319459790297,0.9556398935639687,47.9,0.0,True,216.5,ta-01M1Y39XXACFBV4R33H7PF9ANS
35,global,True,1751,57376768,0.9574114650576635,0.9579034431803574,47.65,0.0,True,230.6,ta-01M1Y39XXACFBV4R33H7PF9ANS
36,sliding,True,1751,57376768,0.9617753157232065,0.9608855186053321,46.91,0.0,True,245.4,ta-01M1Y39XXACFBV4R33H7PF9ANS
37,sliding,True,2001,65568768,0.9577146082931159,0.9577146082931159,50.67,0.0,True,261.1,ta-01M1Y39XXACFBV4R33H7PF9ANS
