t_s,tag,mem_available_gb,cgroup_current_gb,rss_gb,rss_peak_gb,gpu_util_pct,gpu_mem_used_gb
4.1,,1618.003185664,0.35192832,0.151351296,0.151351296,0.0,0.00390625
20.3,,1611.712118784,6.647140352,6.604926976,6.604926976,0.0,0.00390625
35.4,,1608.265875456,10.093379584,10.04724224,10.04724224,0.0,0.00390625
50.8,,1611.432087552,6.922973184,6.946459648,21.532540928,0.0,5.5771484375
65.9,,1610.988146688,7.366864896,7.404593152,21.532540928,0.0,5.5771484375
80.9,,1610.92179968,7.433211904,7.47231232,21.532540928,0.0,5.5771484375
96.0,,1610.889560064,7.46545152,7.502282752,21.532540928,0.0,5.5771484375
111.0,,1610.725916672,7.629094912,7.671635968,21.532540928,0.0,5.5771484375
126.0,,1610.680102912,7.674908672,7.717883904,21.532540928,0.0,5.5771484375
141.1,,1610.68007424,7.674937344,7.717883904,21.532540928,0.0,5.5771484375
149.0,L0_start,1611.08129792,7.273713664,7.308296192,21.532540928,0.0,5.5771484375
156.1,,1599.37773568,21.380911104,21.46240512,21.532540928,32.0,8.8017578125
171.2,,1563.427917824,54.944759808,55.026540544,55.028637696,26.0,8.8017578125
184.1,L0_end,1535.544061952,82.999578624,83.07922944,83.07922944,32.0,8.8017578125
184.1,L1_start,1535.35543296,82.999586816,83.07922944,83.07922944,32.0,8.8017578125
186.3,,1532.033175552,86.588215296,86.66994688,86.66994688,16.0,8.8017578125
201.4,,1506.952851456,111.402164224,111.478996992,111.478996992,28.0,8.8017578125
216.4,,1480.494944256,137.872896,137.9503104,137.9503104,37.0,8.8017578125
228.5,L1_end,1459.79959296,158.555418624,158.628581376,158.628581376,25.0,8.8017578125
228.6,rm_pool_google_gemma-2-2b_L00_s0,1460.901629952,157.409255424,83.129061376,158.628581376,3.0,8.8017578125
228.7,L2_start,1470.715215872,146.297618432,83.129061376,158.628581376,3.0,8.8017578125
231.5,,1530.624417792,87.741124608,87.810031616,158.628581376,29.0,8.8017578125
246.5,,1504.189042688,114.179883008,114.252976128,158.628581376,26.0,8.8017578125
261.6,,1477.463711744,140.892786688,140.961693696,158.628581376,27.0,8.8017578125
272.0,L2_end,1459.79533312,158.559678464,158.628581376,158.628581376,26.0,8.8017578125
272.1,rm_pool_google_gemma-2-2b_L01_s0,1461.504417792,156.424843264,83.129061376,158.628581376,25.0,8.8017578125
272.2,L3_start,1477.914660864,139.09817344,83.129061376,158.628581376,25.0,8.8017578125
276.7,,1527.895875584,90.459140096,90.530041856,158.628581376,28.0,8.8017578125
291.8,,1501.90096384,116.47004672,116.543115264,158.628581376,27.0,8.8017578125
306.8,,1475.148365824,143.219228672,143.290191872,158.628581376,30.0,8.8017578125
315.9,L3_end,1459.795275776,158.559735808,158.628581376,158.628581376,26.0,8.8017578125
316.0,rm_pool_google_gemma-2-2b_L02_s0,1461.58395392,156.739928064,83.129061376,158.628581376,0.0,8.8017578125
316.1,end,1495.38924544,121.489371136,82.97220096,158.628581376,0.0,8.8017578125
